timestamps,SPEED,T_UUT_EM_InCoolMeas,T_UUT_EM_OutCoolMeas,TORQUE,Qcool,T_UUT_EM_Winding,Ierms_Xion_ACCalc,,,Cp [kJ/kg K],L/min,m3/s,Density kg/m3
s,rpm,°C,°C,Nm,W,°C,A,,,3350,6,0.0001,1070
29.5,4862.100098,23.05438042,23.35055923,56.13592911,106.1652972,24.38625908,216.6676941,,,,,,
30,4875.503906,23.05582047,23.37177086,58.04887009,113.2524186,24.50292015,249.2111969,,,,,,
30.5,4873.928223,23.05654907,23.40216064,29.23539925,123.8844681,24.62034035,241.0657043,,,,,,
31,4850.307129,23.0685997,23.38721085,2.913203001,114.2061649,24.74880981,46.89022827,,,,,,
31.5,4673.35498,23.06963921,23.40999985,4.528745174,122.0022719,24.88209915,25.08156967,,,,,,
32,4158.187012,23.06081963,23.42309952,7.992206097,129.8592273,25.01111031,23.51596069,,,,,,
32.5,3761.278076,23.06805038,23.44005966,-9.189069748,133.3467255,25.12297058,20.96146011,,,,,,
33,4579.263184,23.06784058,23.44058037,-3.279721975,133.6085784,25.23266029,21.06793022,,,,,,
33.5,4350.62207,23.05969048,23.43075943,1.769433975,133.0096667,25.35868073,23.72529984,,,,,,
34,4236.608887,23.06148911,23.4418602,8.661689758,136.3440186,25.47072983,22.44915009,,,,,,
34.5,4298.180176,23.07192993,23.45569038,21.62990952,137.5589341,25.57934952,67.85186005,,,,,,
35,4510.106934,23.05138969,23.4772892,38.25333023,152.6636778,25.6821003,130.7471008,,,,,,
35.5,4726.76709,23.09177017,23.47195053,51.18629837,136.2756496,25.78680992,199.1582947,,,,,,
36,4947.481934,23.06115913,23.4833107,55.03115082,151.3202287,25.89143944,245.0713043,,,,,,
36.5,5188.064941,23.05389023,23.49084091,57.44091034,156.6249725,25.99858093,249.3029938,,,,,,
37,5228.230957,23.07229996,23.50597954,89.10769653,155.4524457,26.11016083,265.6322937,,,,,,
37.5,4262.522949,23.06798935,23.52820015,100.7055969,164.9625613,26.22909927,368.5440063,,,,,,
38,3934.559082,23.07415962,23.52297974,81.92121887,160.8795699,26.31592941,361.6734009,,,,,,
38.5,4064.016113,23.09991074,23.53729057,77.18878174,156.7788026,26.41032982,340.5716858,,,,,,
39,4183.701172,23.08370972,23.56048965,71.40984344,170.9017687,26.5123291,323.0177917,,,,,,
39.5,4294.823242,23.07268906,23.58041,66.86785889,181.9925735,26.61623001,297.7255859,,,,,,
40,4387.990234,23.05489922,23.5748291,65.09664917,186.3688676,26.73895073,281.3967896,,,,,,
40.5,4473.641113,23.06332016,23.5777607,63.11497116,184.4012103,26.86495018,277.5049133,,,,,,
41,4551.433105,23.06570053,23.5824604,59.01136017,185.2325763,26.99649048,264.2719116,,,,,,
41.5,4620.39209,23.05810928,23.59432983,53.57723999,192.2082563,27.13936043,244.6481018,,,,,,
42,4666.958984,23.06195068,23.58282089,23.48324013,186.7059263,27.28653908,220.3070984,,,,,,
42.5,4696.257813,23.05196953,23.60149956,2.071799994,196.979039,27.44795036,42.91437149,,,,,,
43,4644.743164,23.04900932,23.60051918,2.625726938,197.6887083,27.6128006,24.37652016,,,,,,
43.5,4281.936035,23.04653931,23.61984062,7.422088146,205.4998565,27.78041077,23.62027931,,,,,,
44,3888.62207,23.08551025,23.62335014,-8.872839928,192.7887084,27.92921066,21.34623909,,,,,,
44.5,4706.912109,23.07010078,23.63653946,-4.50575304,203.039943,28.08105087,21.54758072,,,,,,
45,4510.272949,23.06311035,23.6463604,1.739691019,209.0659789,28.2418499,24.2370491,,,,,,
45.5,4373.937012,23.05994034,23.67168999,24.63788986,219.2816617,28.39435005,23.2017498,,,,,,
46,4365.026855,23.05706978,23.65851021,52.99969101,215.586322,28.53142929,154.9613037,,,,,,
46.5,4651.327148,23.08486938,23.70178032,61.57941818,221.1317245,28.6677494,281.1899109,,,,,,
47,4953.023926,23.05855942,23.67086983,57.5606308,219.4826663,28.79808998,274.5090942,,,,,,
47.5,5233.61377,23.0550499,23.69370079,53.39046097,228.924413,28.93420982,254.0527039,,,,,,
48,5294.180176,23.05654907,23.70734024,77.08305359,233.2760942,29.08353996,242.2062073,,,,,,
48.5,4329.240234,23.07793999,23.71829033,84.77459717,229.53358,29.22263908,317.4732971,,,,,,
49,3972.768066,23.08275986,23.70550919,61.81613159,223.2244968,29.3456192,286.513092,,,,,,
49.5,4105.299805,23.06093979,23.74218941,56.02447891,244.1939258,29.46705055,253.096405,,,,,,
50,4233.412109,23.06081963,23.73813057,51.36510849,242.7821077,29.59070015,232.0258942,,,,,,
50.5,4350.85498,23.05410957,23.73773003,48.69755936,245.0437513,29.72687912,215.6611023,,,,,,
51,4462.862793,23.08768082,23.75156021,44.81005859,237.967569,29.86294937,207.5065002,,,,,,
51.5,4566.73877,23.06069946,23.7793293,38.36698914,257.5928651,30.01403046,186.897995,,,,,,
52,4659.36084,23.06185913,23.76230049,27.81921005,251.0732057,30.16783905,159.2785034,,,,,,
52.5,4734.47998,23.0517292,23.76626968,8.37413311,256.1270356,30.32803917,107.8644028,,,,,,
53,4729.902832,23.05417061,23.77630997,1.891602039,258.8508531,30.49761009,24.56471062,,,,,,
53.5,4435.48584,23.05981064,23.79437065,6.364031792,263.3030366,30.66655922,24.08823013,,,,,,
54,4088.091064,23.05028915,23.78738022,-8.683480263,264.2102921,30.81879997,22.02462006,,,,,,
54.5,4943.515137,23.05382919,23.80233955,-6.528817177,268.3035388,30.96475983,22.66618919,,,,,,
55,4683.103027,23.07715034,23.82509995,2.081796885,268.1025342,31.12426949,25.42437935,,,,,,
55.5,4530.433105,23.06302071,23.84686089,1.117805004,280.9675123,31.27658081,23.9258194,,,,,,
56,4508.89209,23.0550499,23.84250069,-0.084346399,282.2617358,31.41579056,25.68353081,,,,,,
56.5,4543.654785,23.09354019,23.80969048,-1.352375984,256.7040692,31.55471992,23.41389084,,,,,,
57,4515.753906,23.06244087,23.85564995,2.802516937,284.3257933,31.68462944,23.62841988,,,,,,
57.5,4183.047852,23.08963013,23.87060928,5.329312801,279.9419786,31.81476021,22.95021057,,,,,,
58,3928.483887,23.06160927,23.86771011,-7.814999104,288.946848,31.93029022,21.13699913,,,,,,
58.5,4596.179199,23.0873394,23.86383057,8.077397347,278.3332582,32.04238129,21.56090927,,,,,,
59,4727.51709,23.0718708,23.88113022,30.1592598,290.0790372,32.15882874,91.29180145,,,,,,
59.5,5063.293945,23.06195068,23.88290024,43.69787979,294.2693678,32.26514053,175.4474945,,,,,,
60,5276.532227,23.07534981,23.8968792,76.01815033,294.4772093,32.37982941,238.6819,,,,,,
60.5,4516.199219,23.07375908,23.89343071,74.89710236,293.8112961,32.48601151,317.3658142,,,,,,
61,4812.745117,23.08913994,23.90372086,67.19259644,291.9865298,32.58034897,306.4862976,,,,,,
61.5,5171.53418,23.08028984,23.93054008,64.9283371,304.7722,32.68157959,299.3923035,,,,,,
62,5297.405762,23.09036064,23.95602036,88.66570282,310.2957244,32.7960701,296.6579895,,,,,,
62.5,4337.246094,23.0873394,23.92484093,103.9437027,300.202422,32.90708923,366.8695984,,,,,,
63,3971.021973,23.11243057,23.94345093,86.68070221,297.8792463,33.01121902,378.5486145,,,,,,
63.5,4116.541016,23.08551025,23.97171021,82.88865662,317.6583725,33.10575104,369.6586914,,,,,,
64,4254.162109,23.09357071,23.9623394,74.61995697,311.4101377,33.21672058,348.7778931,,,,,,
64.5,4363.810059,23.12487984,23.98343086,62.28329849,307.7476151,33.33768082,302.8633118,,,,,,
65,4446.263184,23.08617973,23.98546982,34.89271927,322.3505309,33.46020126,244.4792938,,,,,,
65.5,4473.254883,23.09313965,23.98028946,7.859624863,317.9988497,33.60440063,107.302803,,,,,,
66,4441.912109,23.08694077,23.97052002,1.37804997,316.7189837,33.76285934,23.02796936,,,,,,
66.5,4296.878906,23.09625053,23.99349976,0.881197989,321.6189836,33.92699814,22.69874954,,,,,,
67,4195.258789,23.10280991,23.98266983,8.688500404,315.3857899,34.08184814,22.1427803,,,,,,
67.5,4152.508789,23.10680962,23.99868965,31.6702404,319.6943987,34.22803879,60.20251083,,,,,,
68,4157.562988,23.10971069,24.0248394,64.74597931,328.0278853,34.37429047,178.8135986,,,,,,
68.5,4238.946777,23.11944962,24.05340958,88.77459717,334.777948,34.51483917,331.4227905,,,,,,
69,4394.945801,23.10467911,24.06353951,95.28839874,343.7035094,34.65573883,416.2358093,,,,,,
69.5,4595.37793,23.11474991,24.07686996,83.19831085,344.8719341,34.80643082,411.4833069,,,,,,
70,4715.380859,23.11413956,24.04204941,68.62315369,332.6092861,34.9449501,328.3746948,,,,,,
70.5,4802.498047,23.12981987,24.08179092,58.59695816,341.2340243,35.09640884,274.5057068,,,,,,
71,4880.308105,23.12694931,24.0551796,54.454319,332.7241459,35.2521019,237.2588043,,,,,,
71.5,4951.187012,23.12714005,24.08028984,53.25212097,341.6565442,35.41498947,232.9694061,,,,,,
72,5017.717773,23.14163017,24.08105087,52.25878906,336.7353499,35.5825882,229.4252014,,,,,,
72.5,5077.019043,23.15966988,24.07718086,49.7893219,328.881813,35.75159073,221.8829041,,,,,,
73,5134.308105,23.13669014,24.1090107,46.39802933,348.5283035,35.93104935,210.162796,,,,,,
73.5,5188.256836,23.15947914,24.10738945,44.87916183,339.7784502,36.11265945,198.7825012,,,,,,
74,5238.383789,23.14818954,24.1274395,43.84281158,351.0121461,36.29034042,195.3531036,,,,,,
74.5,5286.255859,23.15880966,24.12929916,45.19171143,347.871962,36.46942139,187.8054962,,,,,,
75,5326.77002,23.12615967,24.15041924,48.84276962,367.1458419,36.64392853,208.361496,,,,,,
75.5,5363.663086,23.14484024,24.14554024,49.6327095,358.7009139,36.82978058,222.4875946,,,,,,
76,5399.74707,23.13784981,24.16345024,50.84447861,367.6264753,37.0044899,229.7373047,,,,,,
76.5,5434.569824,23.14876938,24.19478989,50.05165863,374.946051,37.17708969,235.9467926,,,,,,
77,5457.726074,23.15526962,24.17824936,25.83960915,366.6870865,37.34978104,230.5357971,,,,,,
77.5,5479.655762,23.14831924,24.16790962,3.30605197,365.4721709,37.52899933,84.94740295,,,,,,
78,5447.522949,23.15283012,24.16522026,1.45175302,362.8912445,37.71442032,43.08248138,,,,,,
78.5,5076.426758,23.1590004,24.19720078,7.592381001,372.1429256,37.89836884,29.68186951,,,,,,
